Data Import Template,,,,,,,,,
Table:,Price List,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Notes:,,,,,,,,,
Please do not change the template headings.,,,,,,,,,
First data column must be blank.,,,,,,,,,
"If you are uploading new records, leave the ""name"" (ID) column blank.",,,,,,,,,
"If you are uploading new records, ""Naming Series"" becomes mandatory, if present.",,,,,,,,,
Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish.,,,,,,,,,
"For updating, you can update only selective columns.",,,,,,,,,
You can only upload upto 5000 records in one go. (may be less in some cases),,,,,,,,,
,,,,,,,,,
DocType:,Price List,,,,,,~,Price List Country,countries
Column Labels:,ID,Price List Name,Currency,Enabled,Buying,Selling,,ID,Country
Column Name:,name,price_list_name,currency,enabled,buying,selling,~,name,country
Mandatory:,Yes,Yes,Yes,No,No,No,,Yes,Yes
Type:,Data (text),Data,Link,Check,Check,Check,,Data,Link
Info:,,,Valid Currency,0 or 1,0 or 1,0 or 1,,Leave blank for new records,Valid Country
Start entering data below this line,,,,,,,,,
,"""Basic Rate""",Basic Rate,INR,1,0,1,,"""b1dd205fc6""",India
,"""Discount Rate""",Discount Rate,INR,1,0,1,,"""4d603cf0ac""",India
,"""Negotiation Rate""",Negotiation Rate,INR,1,0,1,,"""f788f25e43""",India
,"""Stock Rate""",Stockiest Rate,INR,1,0,1,,"""b8688b8de6""",India
,"""Dealer Rate""",Dealer Rate,INR,1,0,1,,"""ca9137aba1""",India
